t_rel,label,ms,n_persons,conf,bbox_w,bbox_h,aspect,sh_y,hip_y,sh_hip_gap,sh_hip_gap_norm,torso_angle,ank_y,kp_ok
3.26,standing,3253.8,1,0.65,449,211,2.13,479,,,,,,7
3.42,standing,96.6,1,0.64,445,212,2.10,480,,,,,,7
3.52,standing,89.3,1,0.67,459,211,2.18,480,,,,,,7
3.61,standing,90.0,1,0.68,453,211,2.15,480,,,,,,7
3.70,standing,78.8,1,0.67,407,212,1.92,477,,,,,,7
3.78,standing,80.7,1,0.66,459,211,2.18,479,,,,,,7
3.86,standing,81.9,1,0.65,471,211,2.23,479,,,,,,7
3.96,standing,90.5,1,0.67,454,211,2.15,480,,,,,,7
4.06,standing,98.8,1,0.67,461,211,2.18,480,,,,,,7
4.16,standing,100.0,1,0.66,471,212,2.22,479,,,,,,7
4.24,standing,84.0,1,0.67,476,210,2.27,479,,,,,,7
4.35,standing,105.9,1,0.68,434,212,2.05,477,,,,,,7
4.44,standing,82.4,1,0.68,436,212,2.06,477,,,,,,7
4.51,standing,75.4,1,0.68,455,210,2.17,479,,,,,,7
4.61,standing,96.4,1,0.68,394,212,1.86,478,,,,,,7
4.71,standing,88.5,1,0.68,452,210,2.15,480,,,,,,7
4.78,standing,74.6,1,0.68,448,210,2.13,480,,,,,,7
4.89,standing,100.0,1,0.67,458,210,2.18,480,,,,,,7
4.98,standing,90.3,1,0.68,454,210,2.16,479,,,,,,7
5.08,standing,99.2,1,0.68,450,210,2.14,479,,,,,,7
5.18,standing,93.2,1,0.68,452,210,2.15,480,,,,,,7
5.25,standing,69.1,1,0.68,460,210,2.19,479,,,,,,7
5.35,standing,102.1,1,0.69,452,210,2.15,480,,,,,,7
5.48,standing,126.7,1,0.69,421,212,1.99,477,,,,,,7
5.59,standing,102.3,1,0.69,430,212,2.03,476,,,,,,7
5.67,standing,80.9,1,0.69,460,210,2.19,479,,,,,,7
5.76,standing,82.4,1,0.68,444,210,2.11,479,,,,,,7
5.85,standing,89.6,1,0.70,438,212,2.07,476,,,,,,7
5.95,standing,92.0,1,0.68,455,210,2.17,479,,,,,,7
6.04,standing,90.9,1,0.68,457,210,2.18,479,,,,,,7
6.14,standing,100.7,1,0.68,454,210,2.16,479,,,,,,7
6.25,standing,104.6,1,0.68,409,212,1.93,477,,,,,,7
6.35,standing,100.7,1,0.68,424,212,2.00,477,,,,,,7
6.46,standing,101.4,1,0.69,423,212,2.00,477,,,,,,7
